u,v,name,length,edge_key,ping_count
3661948585,5558133969,Jalan Anggajaya 1,20.493,3661948585_5558133969,855
1720197715,1720197716,Jalan Padjajaran,40.544,1720197715_1720197716,850
1795102967,13713277377,Jalan Ring Road Utara,32.164,1795102967_13713277377,847
1460649219,6763210247,Jalan Kaliurang,19.239,1460649219_6763210247,840
1720197726,4670241355,Jalan Palagan Tentara Pelajar,30.596,1720197726_4670241355,839
1720197747,5608710354,Ring Road Utara,23.487,1720197747_5608710354,838
1720197841,1720197843,Ring Road Utara,30.932,1720197841_1720197843,838
1721446177,7687227758,Ring Road Utara,9.467,1721446177_7687227758,828
1720197649,5606640870,Jalan Siliwangi,56.602,1720197649_5606640870,824
7678845688,2365503289,Ring Road Utara,32.143,7678845688_2365503289,824
1720197860,7663564671,Ring Road Utara,21.878,1720197860_7663564671,821
9446704638,1390872254,Jalan Affandi,7.94,9446704638_1390872254,817
1720197857,1720197861,Ring Road Utara,24.733,1720197857_1720197861,814
7668725524,7668725523,Jalan Magelang,14.634,7668725524_7668725523,811
3666612850,1720272160,Jalan Siliwangi,69.2,3666612850_1720272160,808
5610495421,5411679752,Ring Road Utara,59.799,5610495421_5411679752,783
4667313128,7690296598,Jalan Kabupaten,29.372,4667313128_7690296598,782
13737613593,12165261069,Jalan Kaliurang,6.485,13737613593_12165261069,760
8461066324,1720135741,Ring Road Utara,38.964,8461066324_1720135741,759
7666545723,2751215337,Ring Road Utara,46.395,7666545723_2751215337,758
5610495453,9819785510,Jalan Seturan Raya,16.793,5610495453_9819785510,749
7663564663,1720197832,Ring Road Utara,25.601,7663564663_1720197832,746
5555924734,4670241375,Jalan Anggajaya 1,8.798,5555924734_4670241375,745
7676359428,6457482446,Ring Road Utara,23.747,7676359428_6457482446,737
1654232379,3671100381,Jalan Palagan Tentara Pelajar,29.956,1654232379_3671100381,733
4670241360,13737613593,Jalan Kaliurang,8.132,4670241360_13737613593,733
2751215337,7663564663,Ring Road Utara,36.885,2751215337_7663564663,728
1721446200,4670241372,Ring Road Utara,12.039,1721446200_4670241372,727
5601295053,11330915499,Jalan Kabupaten,42.205,5601295053_11330915499,717
5606640870,5606640869,Jalan Siliwangi,56.85,5606640870_5606640869,716
5608710352,5608710351,Ring Road Utara,37.212,5608710352_5608710351,716
5558739367,5563305315,Ring Road Utara,15.709,5558739367_5563305315,715
3662557260,5558739682,Jalan Pawiro Kuat,36.416,3662557260_5558739682,711
5608710345,5608710344,Ring Road Utara,45.852,5608710345_5608710344,706
276915744,4670241354,Jalan Nyi Tjondro Loekito,27.965,276915744_4670241354,697
5421635063,1720135536,Jalan Padjajaran,35.051,5421635063_1720135536,679
2552009128,11100793648,Jalan Kaliurang,28.573,2552009128_11100793648,678
3687534425,8437425756,Jalan Magelang,36.249,3687534425_8437425756,677
1654232395,2978412361,Jalan Palagan Tentara Pelajar,21.32,1654232395_2978412361,676
1720135474,7652677604,Jalan Padjajaran,18.54,1720135474_7652677604,675
2327949659,3679640906,Jalan Kabupaten,78.313,2327949659_3679640906,668
7687120473,1720197715,Jalan Padjajaran,31.096,7687120473_1720197715,666
5603935161,7290083812,Jalan Seturan Raya,31.37,5603935161_7290083812,665
10302722691,1795102938,Ring Road Utara,22.675,10302722691_1795102938,663
1720197689,1720197693,Jalan Ring Road Utara,35.464,1720197689_1720197693,662
1795103002,7537955043,Jalan Magelang,30.866,1795103002_7537955043,660
1720135478,5555924734,Jalan Anggajaya 1,8.362,1720135478_5555924734,656
13713277383,7669445714,Jalan Magelang,18.211,13713277383_7669445714,652
11189646562,13248026065,Jalan Siliwangi,76.698,11189646562_13248026065,649
7290083806,6877217689,Ring Road Utara,6.8,7290083806_6877217689,643
5833728174,1720197689,Jalan Ring Road Utara,34.528,5833728174_1720197689,642
8437257935,10302722691,Ring Road Utara,21.205,8437257935_10302722691,641
5608710340,1720197783,Ring Road Utara,17.166,5608710340_1720197783,638
822593309,9510330061,Jalan Palagan Tentara Pelajar,5.535,822593309_9510330061,634
1720321698,5606095728,Jalan Magelang,13.9,1720321698_5606095728,634
13248026073,11189646562,Jalan Siliwangi,39.814,13248026073_11189646562,627
3661518908,1720197649,Jalan Siliwangi,80.828,3661518908_1720197649,618
2138725535,5563305375,Jalan Pawiro Kuat,28.215,2138725535_5563305375,608
6457482446,5608710340,Ring Road Utara,17.566,6457482446_5608710340,605
2565951995,5833728174,Jalan Ring Road Utara,30.073,2565951995_5833728174,602
5604069573,7537982150,Jalan Siliwangi,48.895,5604069573_7537982150,602
1795102938,1720197734,Ring Road Utara,25.677,1795102938_1720197734,601
1720197679,1795102967,Jalan Ring Road Utara,38.721,1720197679_1795102967,598
1720197837,1720197841,Ring Road Utara,22.271,1720197837_1720197841,590
5608710344,5608710343,Ring Road Utara,36.221,5608710344_5608710343,583
9523663598,5610495319,Ring Road Utara,34.934,9523663598_5610495319,578
7642222906,1720135509,Jalan Padjajaran,27.158,7642222906_1720135509,574
3669800185,9512765875,Ring Road Utara,24.203,3669800185_9512765875,572
1720197730,8437257935,Ring Road Utara,25.145,1720197730_8437257935,565
3632597240,1720135750,Ring Road Utara,21.868,3632597240_1720135750,565
5608710343,6457482448,Ring Road Utara,31.42,5608710343_6457482448,563
3661948585,5555924345,Jalan Anggajaya 1,14.897,3661948585_5555924345,555
1720197698,1720197702,Jalan Padjajaran,22.786,1720197698_1720197702,551
5610495452,9819785513,Jalan Pawiro Kuat,19.484,5610495452_9819785513,551
4667313139,13248026073,Jalan Siliwangi,25.829,4667313139_13248026073,546
4670241352,1720197726,Jalan Padjajaran,24.256,4670241352_1720197726,536
5610495445,7290083807,Ring Road Utara,5.089,5610495445_7290083807,530
1720135765,1720135769,Ring Road Utara,20.386,1720135765_1720135769,529
5603488163,5603488165,Jalan Kabupaten,25.686,5603488163_5603488165,527
7537982149,4667313139,Jalan Siliwangi,18.106,7537982149_4667313139,527
1795103041,7663758547,Jalan Kaliurang,7.648,1795103041_7663758547,512
2502420899,8448600519,Jalan Nyi Tjondro Loekito,24.082,2502420899_8448600519,509
4670241370,7281592185,Jalan Kaliurang,10.171,4670241370_7281592185,502
275864515,10309650246,Jalan Kaliurang,9.924,275864515_10309650246,498
1720197852,2868015607,Ring Road Utara,25.631,1720197852_2868015607,498
5608710346,5608710345,Ring Road Utara,28.367,5608710346_5608710345,496
1720197814,3625423044,Ring Road Utara,21.172,1720197814_3625423044,494
5608710354,5859399086,Ring Road Utara,25.069,5608710354_5859399086,494
1390908545,7290083811,Jalan Seturan Raya,11.369,1390908545_7290083811,489
7687227758,1721446174,Ring Road Utara,10.112,7687227758_1721446174,489
7538042791,3661518908,Jalan Siliwangi,32.618,7538042791_3661518908,488
1720197705,1720197708,Jalan Padjajaran,21.018,1720197705_1720197708,485
5198170892,9526370313,Jalan Anggajaya 1,9.459,5198170892_9526370313,484
4667313127,7690296592,Jalan Kabupaten,30.576,4667313127_7690296592,482
1391280767,5558133992,Jalan Anggajaya 1,17.787,1391280767_5558133992,480
7601432326,1720197747,Ring Road Utara,17.822,7601432326_1720197747,478
7675872274,1721446186,Jalan Kaliurang,5.991,7675872274_1721446186,473
5603488182,9551748087,Jalan Kabupaten,55.817,5603488182_9551748087,472
2751215348,7666545723,Ring Road Utara,37.832,2751215348_7666545723,470
3636570876,5563375683,Ring Road Utara,28.278,3636570876_5563375683,463
4670241375,5555924747,Jalan Anggajaya 1,6.73,4670241375_5555924747,463
2502420899,3661881858,Jalan Nyi Tjondro Loekito,19.666,2502420899_3661881858,460
5563376113,7678845688,Ring Road Utara,35.075,5563376113_7678845688,450
5610495441,1720135664,Ring Road Utara,19.738,5610495441_1720135664,435
1390908542,7290326820,Jalan Seturan Raya,11.194,1390908542_7290326820,430
7290326822,1390908540,Jalan Seturan Raya,10.737,7290326822_1390908540,430
279077930,5601293681,Jalan Kabupaten,60.981,279077930_5601293681,428
11100793647,11100793648,Jalan Kaliurang,11.745,11100793647_11100793648,424
4670241374,1720272203,Jalan Padjajaran,8.357,4670241374_1720272203,422
5608710336,5608710352,Ring Road Utara,17.967,5608710336_5608710352,417
7634566880,5530005394,Jalan Affandi,13.026,7634566880_5530005394,417
1720197662,1720197661,Jalan Siliwangi,30.485,1720197662_1720197661,409
5606095728,9553942634,Jalan Magelang,9.62,5606095728_9553942634,404
1720135711,1720135720,Ring Road Utara,29.815,1720135711_1720135720,403
2930657887,3679639163,Jalan Kabupaten,46.231,2930657887_3679639163,401
1720197661,1720197664,Jalan Siliwangi,26.141,1720197661_1720197664,398
1720135720,1720135728,Ring Road Utara,20.203,1720135720_1720135728,396
7281592188,12165261072,Ring Road Utara,12.001,7281592188_12165261072,395
5411679752,1720135697,Ring Road Utara,40.283,5411679752_1720135697,392
7687162295,1720197698,Jalan Padjajaran,13.992,7687162295_1720197698,392
1720197843,13447780753,Ring Road Utara,19.787,1720197843_13447780753,387
7713060105,7538108491,Bunderan Jombor,8.679,7713060105_7538108491,381
1720135785,2513645179,Ring Road Utara,21.737,1720135785_2513645179,378
1721446250,5610495445,Jalan Padjajaran,3.923,1721446250_5610495445,372
4670241355,9510330061,Jalan Palagan Tentara Pelajar,4.766,4670241355_9510330061,365
7669445714,1720321698,Jalan Magelang,7.708,7669445714_1720321698,363
1720197846,1720197847,Ring Road Utara,16.325,1720197846_1720197847,360
5411679734,9523663598,Ring Road Utara,38.956,5411679734_9523663598,348
5558133969,9526370313,Jalan Anggajaya 1,10.075,5558133969_9526370313,345
5530005394,7634566881,Jalan Affandi,10.377,5530005394_7634566881,338
9022125172,7687120473,Jalan Padjajaran,16.097,9022125172_7687120473,338
13713277377,4667313114,Jalan Ring Road Utara,15.583,13713277377_4667313114,336
3679639163,5601293681,Jalan Kabupaten,23.232,3679639163_5601293681,332
2138725537,5558739416,Jalan Pawiro Kuat,25.564,2138725537_5558739416,329
1720197605,1720197602,Jalan Siliwangi,32.822,1720197605_1720197602,327
7538042788,3661880062,Jalan Siliwangi,31.804,7538042788_3661880062,326
4989720727,8444648017,Jalan Palagan Tentara Pelajar,20.713,4989720727_8444648017,322
3608247407,7713060105,Bunderan Jombor,8.68,3608247407_7713060105,319
3669802789,3669802879,Jalan Nyi Tjondro Loekito,18.752,3669802789_3669802879,318
5608710350,7595379699,Ring Road Utara,16.38,5608710350_7595379699,317
7642222907,1720135479,Jalan Padjajaran,9.831,7642222907_1720135479,316
1390908540,1390908541,Jalan Seturan Raya,5.808,1390908540_1390908541,313
5563211091,8976653594,Jalan Pawiro Kuat,9.969,5563211091_8976653594,313
1460649219,6763210243,Jalan Kaliurang,4.934,1460649219_6763210243,312
3309295161,7537955042,Jalan Siliwangi,25.538,3309295161_7537955042,311
2138725537,7300990751,Jalan Pawiro Kuat,12.201,2138725537_7300990751,309
2552009128,6763210247,Jalan Kaliurang,8.742,2552009128_6763210247,309
4670241372,12513731136,Ring Road Utara,15.546,4670241372_12513731136,308
3661881778,13737613577,Jalan Nyi Tjondro Loekito,6.643,3661881778_13737613577,306
3608247421,1720197682,Bunderan Jombor,6.827,3608247421_1720197682,305
7538042785,7538042786,Jalan Siliwangi,31.962,7538042785_7538042786,305
7290326821,12414104316,Jalan Seturan Raya,4.276,7290326821_12414104316,304
8437425756,3309285561,Jalan Magelang,13.552,8437425756_3309285561,304
2138725533,5563211061,Jalan Pawiro Kuat,23.168,2138725533_5563211061,294
9570844387,5563376113,Ring Road Utara,11.212,9570844387_5563376113,289
1391280767,5555923910,Jalan Anggajaya 1,14.79,1391280767_5555923910,285
5610495452,9819785506,Jalan Padjajaran,15.998,5610495452_9819785506,272
5606290464,5606290466,Ring Road Utara,6.865,5606290464_5606290466,263
1720197608,1720197605,Jalan Siliwangi,34.16,1720197608_1720197605,262
6457482448,7676359425,Ring Road Utara,11.407,6457482448_7676359425,262
5610495452,5610495453,Jalan Seturan Raya,12.477,5610495452_5610495453,260
5610515353,1720135707,Ring Road Utara,17.449,5610515353_1720135707,258
1720135750,1720135765,Ring Road Utara,12.743,1720135750_1720135765,255
5563211091,8976653593,Jalan Pawiro Kuat,4.866,5563211091_8976653593,252
1390908541,1390908547,Jalan Seturan Raya,8.658,1390908541_1390908547,250
7713060110,7713060106,Bunderan Jombor,7.831,7713060110_7713060106,249
5199169685,5411679734,Ring Road Utara,17.137,5199169685_5411679734,246
1720197642,1720197636,Jalan Siliwangi,33.155,1720197642_1720197636,245
7290083811,7290083812,Jalan Seturan Raya,8.281,7290083811_7290083812,233
1720197602,13248032811,Jalan Siliwangi,17.664,1720197602_13248032811,232
13248032802,5604069573,Jalan Siliwangi,27.794,13248032802_5604069573,232
1720197616,1720197608,Jalan Siliwangi,31.515,1720197616_1720197608,229
1720272203,822593453,Jalan Padjajaran,8.772,1720272203_822593453,229
1720197636,1720197631,Jalan Siliwangi,30.839,1720197636_1720197631,226
3625423044,9153883727,Ring Road Utara,8.508,3625423044_9153883727,225
5563305286,5207808660,Ring Road Utara,4.42,5563305286_5207808660,225
3309284066,3608247421,Bunderan Jombor,6.827,3309284066_3608247421,224
1795102972,13073657375,Ring Road Utara,12.28,1795102972_13073657375,221
1720197622,1720197616,Jalan Siliwangi,33.489,1720197622_1720197616,216
7713060103,7713060110,Bunderan Jombor,7.838,7713060103_7713060110,215
1654232379,8444648017,Jalan Palagan Tentara Pelajar,11.824,1654232379_8444648017,213
7290326820,7290326821,Jalan Seturan Raya,5.701,7290326820_7290326821,213
1720135361,1720197635,Jalan Kabupaten,16.21,1720135361_1720197635,211
5558739622,8976653594,Jalan Pawiro Kuat,12.463,5558739622_8976653594,210
1391280742,3625610736,Jalan Anggajaya 1,8.504,1391280742_3625610736,209
2930657887,5601295054,Jalan Kabupaten,33.79,2930657887_5601295054,208
1720197635,10296080625,Jalan Siliwangi,19.42,1720197635_10296080625,201
4667313123,1720197635,Jalan Siliwangi,18.947,4667313123_1720197635,199
3625610738,9148168168,Jalan Anggajaya 1,5.061,3625610738_9148168168,197
