maid,home_lat,home_lon,n_night_pings,n_total_pings
0b10b854-7e59-4694-8f3b-3cf67f072fe9,-7.7525,110.3625,12,71
0b31caff-caff-2cdb-f1bc-30fe8ed43034,-7.7625,110.4025,2,78
0b368e9f-8e9f-1764-9608-b308e96c1553,-7.7525,110.3625,5,17
0b4442c4-157b-4e7b-8818-c9e7d1eaff9f,-7.7575,110.3775,5,13
0b5e1851-cdf7-404c-9c50-18df1b7bf8b5,-7.7675,110.4025,227,733
0b728ecc-a7a9-42ae-9b5e-425a9d40aac6,-7.7425,110.3875,1,3
0b785b3c-a4f5-4b88-86d8-8f748f6d7926,-7.7425,110.3425,6,20
0b88f2f6-61b0-47f2-a91b-d53b0339ab40,-7.7525,110.3775,22,135
0b905c25-46e5-4e2c-819b-716f0c7fa775,-7.7575,110.4025,2,623
0b92cb57-cb57-bf09-0c15-44011fb08902,-7.7475,110.3625,41,44
0b9c3811-3811-7a0e-5a8a-6a7e6dda66f2,-7.7525,110.3625,2,67
0bae1822-1822-5f79-bd50-c45a58acbb3e,-7.7625,110.4175,6,13
0bfd22ec-9aee-4a38-939e-6ca3022ef392,-7.7625,110.3825,31,925
0c1d5566-888b-405a-947e-5e8fe7468f5d,-7.7475,110.3725,2,10
0c30d4b0-d4b0-4a45-7bdc-05a35b0babd6,-7.7625,110.3675,1,52
0c56e931-bf51-4ff2-a42c-a5e574cc9b07,-7.7475,110.3825,35,114
0c595145-5145-50be-25ab-d51351331e0c,-7.7425,110.4175,79,538
0c5a898e-8be9-43ef-9a51-b3ef21dfde87,-7.7475,110.3775,154,673
0c70e820-fae8-481e-aff1-97f2a568b4b5,-7.7475,110.3725,414,1454
0cafba57-ba57-40ae-b619-5d640c90ee3c,-7.7525,110.4225,2,2
0cbe7962-7962-aa8f-23d2-d5b1614cc089,-7.7475,110.4125,80,639
0cd2694b-694b-1fae-6be8-1f8bad0022a3,-7.7425,110.4325,389,1611
0cdc4aff-4aff-b0f7-2cb6-b07e1b46d281,-7.7625,110.4125,2,46
0ce5201a-201a-21b3-bba2-3468b129d240,-7.7625,110.3925,35,39
0ce80daa-0daa-36d8-37d5-11be0aaf09b6,-7.7425,110.3675,1,117
0cf521ba-ef54-497f-ae5e-e4e98bbaaf8c,-7.7475,110.3575,242,1752
0cfd3783-3783-8d9e-991c-7bf211b923dd,-7.7625,110.3975,24,87
0cfefa65-a960-4e60-90ae-4b6e5aee7045,-7.7525,110.4225,28,93
0d1a3be9-78ed-465e-829e-097b09c04525,-7.7475,110.3575,41,486
0d293b4d-3d49-4197-a661-1c2dfa3cf863,-7.7525,110.4075,16,45
0d2ce0cf-e0cf-7b95-7b56-0460bf38b1c3,-7.7475,110.3625,1,8
0d51c288-b964-4d5e-aa60-bc3bcc43bca5,-7.7525,110.3825,11,92
0d63e1e4-e1e4-ce2b-d356-39ad249a500b,-7.7625,110.4225,3,10
0d66ce04-7efd-4791-a726-8779c5e5a486,-7.7575,110.4175,1,1
0d6ff493-c3a2-43dc-b085-184dd354f644,-7.7525,110.3725,1,1
0d7040ab-f91d-439e-808a-4d730c1ae3bd,-7.7675,110.4325,15,53
0d7d785a-785a-3cce-a0a5-b5e08d676c84,-7.7575,110.3975,4,6
0dbc1042-1042-fd46-b3ca-16f32fd731d8,-7.7625,110.4125,3,3
0dc4104a-6f3f-4604-a54d-a92824882e7c,-7.7575,110.3825,5,44
0dc70e39-0e39-4993-d7a8-1d7a9277c3dd,-7.7575,110.3925,4,9
0dcb0e97-0e97-1f33-bc98-ea298da8ccd1,-7.7475,110.3625,3,3
0dcb77eb-77eb-7dba-b24b-29436088ec52,-7.7525,110.4275,16,169
0dd9fd20-bdf9-4cc3-b1a5-fd49088c48f2,-7.7625,110.3975,27,128
0dea6ed3-7f78-4215-abd7-078a1f5e1684,-7.7575,110.3925,16,56
0dffd65f-d65f-673c-810c-37dfd1ec1d78,-7.7575,110.3775,53,250
0e04313a-1308-41f5-bef0-00723cf7a2e5,-7.7475,110.4125,3,21
0e0a0184-0184-0d29-590b-65f4ac9ffd45,-7.7475,110.4175,36,310
0e3e3461-936c-49fd-a059-0ceef1e5ecdc,-7.7525,110.3825,24,24
0e3f28ef-8455-434f-aae4-4190f6acca5d,-7.7425,110.3475,85,575
0e592d30-2d30-d7f3-08c9-0f78ec8e58a8,-7.7475,110.3825,122,662
0e6187ce-87ce-0b3f-fd7f-a1b74406cb7b,-7.7425,110.3475,1,5
0e6baff2-12ba-4b20-9465-03a449e9f18d,-7.7625,110.4025,35,206
0e6f7731-64d4-46d3-bacb-33f1f954ce07,-7.7625,110.3425,134,443
0e7d1fae-1fae-9c3d-9850-2d8ad138ee54,-7.7475,110.3725,12,78
0e7ddf68-ed99-4524-93d2-26669027485d,-7.7425,110.3925,335,1123
0ea4159a-159a-a1e0-c3ed-6277ebe4a53b,-7.7625,110.4075,18,53
0ebb0b52-0b52-b757-4781-308d1dd1c3be,-7.7625,110.4225,9,24
0ec42a71-4d97-4ecd-81fd-48d29a772b00,-7.7675,110.4275,13,127
0ee5c0e9-c0e9-c765-4416-dd6033ce1d05,-7.7575,110.3725,158,873
0eeabe36-0abc-4408-98d7-7dd8641504bd,-7.7575,110.4025,1,1
0f02f27d-a008-4926-8c56-36af6fc1dcee,-7.7525,110.3775,140,579
0f061ab1-1ab1-9c45-9f93-bca9c753236b,-7.7675,110.3675,2,11
0f1f1df1-1df1-d038-d176-6f20f3417006,-7.7625,110.3625,3,28
0f1fef7c-50da-41c4-af1d-de65ae039036,-7.7675,110.4125,27,113
0f3016c3-16c3-fb8c-aef4-3c0539c23ca5,-7.7625,110.3825,197,1808
0f380877-c8ab-4dec-b5cf-03b9324828b2,-7.7575,110.3725,56,303
0f4f6dc2-5d33-49f3-ba31-85ff927b1b8a,-7.7625,110.3775,1,129
0f5d42a1-afc7-483c-abad-0d0d2eddeef3,-7.7675,110.4275,2,8
0f5ef3ba-f3ba-c92f-f964-7e4859dbd1e8,-7.7475,110.3725,79,242
0f87f88f-8689-45b7-a4d1-e087a011d6ad,-7.7575,110.4125,110,671
0f9b3c05-8dad-4fcb-8459-eefa2e6ddce1,-7.7575,110.3925,31,66
0f9cb565-6f09-4e7d-ae3e-df564e357314,-7.7675,110.4225,4,234
0fa30f91-f123-4cb5-b39a-b64bc01c9bb9,-7.7625,110.4175,146,291
0fbd3c39-d54b-4163-9ec4-392a75cc8b22,-7.7525,110.3975,6,41
0fc107df-171c-4b97-9120-96189122cf09,-7.7475,110.3725,434,626
0ff1ce43-ce43-8cae-d40d-2164e35795a7,-7.7675,110.3975,1,10
0ff79428-9428-05ee-9f39-af6129c32115,-7.7625,110.3975,14,124
1001e670-b298-465d-ad40-f432c1241daf,-7.7625,110.3625,2,6
101e74c8-74c8-fa4e-ab67-8cf308169f13,-7.7425,110.3825,72,295
102b7aa8-0485-4e9a-ad1c-0e77c7560c7b,-7.7475,110.3475,568,1632
1034b03f-058f-44c6-affb-21ab24f92552,-7.7425,110.3575,76,268
103f8b20-7c28-4c52-b6f6-c792c92f0c17,-7.7575,110.3925,18,29
1043704c-e017-4d9a-b4d3-f453828c4489,-7.7575,110.4025,4,85
1065ab1e-ab1e-dc44-ba99-a3405745a335,-7.7575,110.3775,6,6
1086e661-b345-4132-a348-ba05e1f822c7,-7.7525,110.3675,2,54
109ce5df-5441-4eb4-a292-5f7c6ea906ab,-7.7475,110.3825,1,13
10d5d400-94a8-42c1-a961-fa23ab2e9b5e,-7.7425,110.3875,1,7
10f02cfe-0ad1-4763-a2fd-c3bda682d9c8,-7.7425,110.3525,27,182
11129ed2-9ed2-576d-318e-eb7898e7116a,-7.7625,110.3925,6,31
11196042-ef64-4a8c-a696-f4a26badc33f,-7.7675,110.4025,2,10
111bf720-2ddc-49f1-a7e8-29d715e2a1c2,-7.7475,110.4125,15,60
113720f1-20f1-a707-0b5d-c4fee03ba7af,-7.7475,110.3725,4,21
114397eb-97eb-7582-56c7-55fe500bc8f5,-7.7675,110.4075,132,707
11492839-2839-2a42-b4ba-3ad51c9bf3ea,-7.7475,110.4025,3,14
114bf4c7-f4c7-7ef6-928b-e201e105824e,-7.7625,110.3625,21,140
115663a7-63a7-340b-6b15-a7f27426ddd4,-7.7625,110.4325,2,162
11567b01-3923-44ba-933f-aad320496eb3,-7.7625,110.4125,3,3
11723366-ad67-4b36-b3a0-609ab5937e39,-7.7575,110.3925,25,97
117de11f-a871-4eb1-82ce-faa7c42775ed,-7.7475,110.3575,2,5
117fc0a3-c0a3-a731-7949-2f314c393ddc,-7.7475,110.3625,6,21
11ba20e9-20e9-2b6d-6266-cd1ab8ba00a1,-7.7675,110.4275,1,176
11c249cd-b787-4912-9c94-1190110f7a7b,-7.7475,110.3425,4,36
11c7e5c1-e5c1-7d2a-41c0-07f655b13897,-7.7625,110.3775,3,21
11d7ab51-ab51-9fc5-b9fd-65e724008fe6,-7.7575,110.3975,69,224
11df737e-f1bd-4823-9b5b-42a63e758aa7,-7.7425,110.4125,21,32
12047ac0-4a2b-43c9-b12c-83ed0ca7749e,-7.7525,110.3625,6,22
120e4ee0-4ee0-5caa-76c6-262614282f04,-7.7475,110.3725,75,455
120f207c-e68d-477b-8622-4dd704f03340,-7.7625,110.3925,2,7
12117e86-5f2a-409c-a9c3-29069476bacd,-7.7575,110.4025,4,19
12717cc7-7569-4c87-8208-ba051c7fe8ce,-7.7525,110.4125,45,246
12cefad2-fad2-a432-97aa-9fdb53de5481,-7.7675,110.3775,1,8
12d5fe90-beea-4a71-9a59-0a055f56d171,-7.7475,110.3575,2,5
12d8cae8-cae8-3d5f-b0f8-6083c6953cdb,-7.7625,110.4225,1,1
13194ac7-9678-41cc-8a13-7c1b33d71966,-7.7525,110.4025,213,647
13287fc3-7fc3-59de-879f-9a4d31fbb765,-7.7525,110.3425,38,280
132c38a6-baae-4a08-9579-c15ac1dddd6b,-7.7625,110.3975,4,189
1330c5f6-b74a-4f57-9d0e-3b30d91a8610,-7.7575,110.3975,2,49
13509e01-8340-4794-80ab-6b23d51a299e,-7.7425,110.3975,23,97
135a25ce-b85d-4554-b665-9f9f92003bb4,-7.7575,110.3975,36,76
1367ea0e-2fe1-495c-a36c-f81c9a9f712f,-7.7575,110.4025,8,63
1386382f-382f-a0b5-abd1-75fbb848a8f8,-7.7625,110.3875,45,244
138a46da-d7ed-48d2-89a9-9e3d2afe3957,-7.7625,110.4125,20,186
139568b2-68b2-c690-4b50-e13a81912a17,-7.7675,110.4325,5,6
13a51842-8f24-4cb0-bbb9-4d58bcc605bc,-7.7675,110.3925,2,11
13a726b9-26b9-2c9f-9901-5ca0a1126895,-7.7575,110.3825,92,627
13adc6b3-c6b3-a46a-8d20-2ce5ea4dd7bf,-7.7525,110.3825,6,47
13b7a55e-70fb-4a78-995d-e449b81542be,-7.7575,110.3875,4,126
13d9a361-6bf2-4d6b-90c6-4e00766a9f23,-7.7625,110.4025,4,13
13df48d0-48d0-72db-77d0-ce93a45879ee,-7.7575,110.3975,30,119
13e160bb-60bb-c311-5309-20329ec921a2,-7.7425,110.3825,45,226
13e9724e-724e-d768-a24d-633d521e6ff5,-7.7625,110.4125,7,52
13f39415-8bed-4d90-93f6-4d7965ede685,-7.7425,110.3875,5,166
13f5c1d7-0e21-4792-bf41-75675ccb07a4,-7.7425,110.3625,8,13
14275da3-5da3-9343-a35c-aee28aa9a977,-7.7675,110.3875,163,438
142948ca-48ca-1354-a184-cf99ea0128d6,-7.7425,110.3825,114,532
144d8be0-604b-401e-aa1a-f8331135e739,-7.7475,110.3875,2,3
1451f385-f385-8898-d45a-508e4e599207,-7.7575,110.3875,91,336
14656f1b-6f1b-f6fd-3137-ef798815a2ec,-7.7675,110.4225,113,462
146a12e7-12e7-1084-6b80-e22523359bee,-7.7475,110.3625,11,287
147852ac-4b40-4d39-bb7a-fa5e3ddddb0f,-7.7575,110.4325,1,23
1483e775-e775-dce0-c0e7-f6b05fe8baf7,-7.7525,110.3675,21,84
149195d3-d874-43e8-a8be-d7170cc040bc,-7.7625,110.3825,3,198
14d296b8-ae03-4e5d-bd57-aac879dd992c,-7.7625,110.4225,8,8
14dfbdfb-bdfb-fec0-8a2c-6a7bc74f4fb3,-7.7625,110.3925,1,2
14e12eb3-2eb3-bed7-6695-ccb5c3ac4b21,-7.7625,110.3675,98,365
15011739-2837-4871-a58b-9dd3d67147d5,-7.7575,110.3875,11,32
15156467-e838-4508-b469-631e7ef5cd01,-7.7575,110.3825,8,27
151c4d16-4d16-09df-8d01-ec4479eb0d6a,-7.7425,110.3825,101,682
154d7fde-7fde-f852-e960-4ff99acdaf3f,-7.7525,110.3875,1,61
15555d0f-e145-436d-b8c4-24c9e6375fe0,-7.7575,110.3825,38,101
157c83b8-a3c3-441a-8b5e-0e624008cfa1,-7.7625,110.4125,1,10
15b6ed0d-7cce-45a4-8eb5-b05058dfcc1c,-7.7425,110.3725,3,32
15ba2c6c-2c6c-fe0d-c9b9-f45b766bbba0,-7.7575,110.3925,2,10
15ce6bb4-6bb4-ee57-90f8-8b0dbe12b68f,-7.7525,110.3675,5,97
15cf652a-652a-7d46-d8d0-1685954a889c,-7.7575,110.3975,125,326
15e5968b-2aba-4091-2d40-f899f6e89ab0,-7.7575,110.3975,6,38
15fc185f-185f-334a-ef9b-b0a093bfd3e7,-7.7475,110.3625,2,13
16112122-2122-8217-da82-c9ea9a54813a,-7.7425,110.4325,71,330
1616a7a0-a7a0-b87c-6feb-c1739c05d16b,-7.7425,110.3675,3,9
