nearest_intersection,date_wib,n_maids,n_pings,dow,is_weekday,month
jombor,2021-12-22,3,18,2,true,2021-12
jombor,2021-12-23,3,5,3,true,2021-12
jombor,2021-12-24,1,4,4,true,2021-12
jombor,2021-12-26,1,2,6,false,2021-12
jombor,2021-12-28,1,3,1,true,2021-12
jombor,2021-12-29,1,2,2,true,2021-12
jombor,2021-12-30,2,7,3,true,2021-12
jombor,2021-12-31,1,1,4,true,2021-12
jombor,2022-01-01,1,4,5,false,2022-01
jombor,2022-01-02,1,2,6,false,2022-01
jombor,2022-01-03,2,4,0,true,2022-01
jombor,2022-01-04,2,9,1,true,2022-01
jombor,2022-01-05,1,2,2,true,2022-01
jombor,2022-01-06,2,6,3,true,2022-01
jombor,2022-01-07,2,6,4,true,2022-01
jombor,2022-01-08,2,5,5,false,2022-01
jombor,2022-01-10,1,1,0,true,2022-01
jombor,2022-01-11,4,10,1,true,2022-01
jombor,2022-01-12,2,3,2,true,2022-01
jombor,2022-01-13,1,2,3,true,2022-01
jombor,2022-01-14,2,4,4,true,2022-01
jombor,2022-01-15,4,11,5,false,2022-01
jombor,2022-01-16,3,8,6,false,2022-01
jombor,2022-01-17,1,4,0,true,2022-01
jombor,2022-01-19,22,33,2,true,2022-01
jombor,2022-01-20,49,63,3,true,2022-01
jombor,2022-01-21,57,84,4,true,2022-01
jombor,2022-01-22,37,63,5,false,2022-01
jombor,2022-01-23,28,36,6,false,2022-01
jombor,2022-01-24,37,53,0,true,2022-01
jombor,2022-01-25,47,68,1,true,2022-01
jombor,2022-01-26,46,64,2,true,2022-01
jombor,2022-01-27,37,58,3,true,2022-01
jombor,2022-01-28,51,78,4,true,2022-01
jombor,2022-01-29,79,133,5,false,2022-01
jombor,2022-01-30,64,90,6,false,2022-01
jombor,2022-01-31,72,108,0,true,2022-01
jombor,2022-02-01,92,169,1,true,2022-02
jombor,2022-02-02,66,94,2,true,2022-02
jombor,2022-02-03,91,138,3,true,2022-02
jombor,2022-02-04,88,125,4,true,2022-02
jombor,2022-02-05,91,142,5,false,2022-02
